item,itemdescr,areacity,total_semanas,semanas_con_ventas,porcentaje_semanas_con_ventas,max_semanas_consecutivas,ventanas_12semanas_validas,media_ventas,desv_estandar,coef_variacion
4389,RON RONERO 750CCX12,MACHALA,200,191,95.5,50,124,16.75,12.458473736344914,0.7437894767967113
4517,SWITCH MARACUYA X6 NG,IBARRA,200,182,91.0,89,124,689.42,754.7229673111417,1.0947216026676652
4400,ZHUMIR PINK 700CCX12,STO. DOMINGO,200,180,90.0,133,122,24.595,26.577486505400085,1.080605265517385
4410,ZHUMIR PINA COLADA 700CCX12,PENINSULA DE SANTA ELENA,200,187,93.5,65,118,28.06,32.691744382240735,1.1650657299444311
3682,VIVANT LIPOTERMICA 500X40,RIOBAMBA,200,165,82.5,122,118,73.765,64.67459929500801,0.8767653940894463
3569,CUNINGHAM 375,STO. DOMINGO,200,190,95.0,76,117,19.365,16.40939107882707,0.8473736678970861
4405,ZHUMIR AGUARDIENTE 125CCX12,MACHALA,200,172,86.0,49,117,15.32,14.629343404343581,0.954917976784829
4482,VENETTO SANDIA 1500CCX6,IBARRA,200,161,80.5,90,117,66.86,302.11497428701244,4.51862061452307
4405,ZHUMIR AGUARDIENTE 125CCX12,RIOBAMBA,200,162,81.0,53,116,42.025,42.73600596721868,1.0169186428844421
4356,ZHUMIR TACAO 700CCX12,PENINSULA DE SANTA ELENA,200,181,90.5,48,115,17.735,23.5965838384335,1.3305093791053566
4395,ZHUMIR SECO EXTRA 350CCX24 N,QUEVEDO,200,186,93.0,96,113,25.905,34.310670139581006,1.3244806075885351
4400,ZHUMIR PINK 700CCX12,RIOBAMBA,200,189,94.5,68,112,26.435,21.860815429811428,0.8269648356274419
4356,ZHUMIR TACAO 700CCX12,LOJA,200,171,85.5,88,110,14.16,14.158272614167501,0.999878009475106
4356,ZHUMIR TACAO 700CCX12,AZOGUES,200,181,90.5,42,110,11.985,13.739674972200344,1.1464059217522191
4400,ZHUMIR PINK 700CCX12,PENINSULA DE SANTA ELENA,200,188,94.0,115,110,44.335,44.148593027769955,0.9957954895177614
4509,ZHUMIR DURAZNO CAM 350CCX24 NG,PENINSULA DE SANTA ELENA,200,188,94.0,46,108,17.06,15.000046901099205,0.8792524561019465
4390,RON RONERO 375CCX24,GUAYAQUIL,200,188,94.0,79,106,14.39,14.96387274194705,1.0398799681686621
3856,VIVANT AGUA 1 LITRO,ESMERALDAS,200,175,87.5,87,104,318.88,504.6654751506638,1.5826187755602854
4405,ZHUMIR AGUARDIENTE 125CCX12,GUAYAQUIL,200,162,81.0,52,103,21.9,21.596807878776062,0.9861556109030166
4395,ZHUMIR SECO EXTRA 350CCX24 N,STO. DOMINGO,200,182,91.0,84,98,14.85,15.040230806525804,1.012810155321603
4520,SWITCH MARACUYA 350CCX12 NG,MILAGRO,200,176,88.0,75,98,24.61,25.241305782148824,1.0256524088642351
4410,ZHUMIR PINA COLADA 700CCX12,STO. DOMINGO,200,183,91.5,54,97,23.535,25.681246212658294,1.091193805509169
4390,RON RONERO 375CCX24,MACHALA,200,183,91.5,81,96,15.24,13.864469610769094,0.9097421004441663
4400,ZHUMIR PINK 700CCX12,LOJA,200,167,83.5,73,96,21.06,19.714454050073574,0.9361089292532562
4356,ZHUMIR TACAO 700CCX12,MACHALA,200,177,88.5,39,91,15.575,19.36256490235707,1.2431823372299886
3859,AGUA VIVANT 600 16+4,MANTA,200,162,81.0,101,90,11864.095,7936.330905220673,0.6689368978603656
4508,ZHUMIR DURAZNO GR 700CCX12 NG,ESMERALDAS,200,166,83.0,52,84,32.335,58.326431728599296,1.803817279375268
4391,LIOVA VODKA 750CCX6,LOJA,200,171,85.5,51,83,16.6,16.29532719653739,0.9816462166588787
4410,ZHUMIR PINA COLADA 700CCX12,QUEVEDO,200,176,88.0,41,82,14.74,16.263607368081523,1.103365493085585
4400,ZHUMIR PINK 700CCX12,MACHALA,200,181,90.5,43,77,31.565,37.45718862781212,1.1866684184321914
4418,WHISKY CUNINGHAM 750CCX6,MILAGRO,200,183,91.5,31,76,27.945,55.085059625726544,1.9711955493192537
3682,VIVANT LIPOTERMICA 500X40,PENINSULA DE SANTA ELENA,200,164,82.0,59,75,46.785,43.4556179180922,0.9288365484256109
4521,SWITCH BONGO 350CCX12 NG,MILAGRO,200,167,83.5,37,75,25.89,28.20434942758237,1.0893916349008252
4356,ZHUMIR TACAO 700CCX12,STO. DOMINGO,200,173,86.5,36,75,11.585,11.799530482099275,1.0185179527060229
3887,LIOVA GIN 750CC,CUENCA,200,178,89.0,38,73,10.86,12.210893892268544,1.1243917027871588
4408,ZHUMIR AGUAR PA SUAVE 700CCX12,GUAYAQUIL,200,179,89.5,48,71,18.985,43.021728470657884,2.2660905172851136
4281,FLOYD AGUA TONICA 1500CC X 6,AMBATO,200,178,89.0,48,71,26.97,24.349405903208318,0.9028329960403529
3859,AGUA VIVANT 600 16+4,PUYO,200,162,81.0,79,70,10983.185,7115.495192885375,0.6478535318202666
4389,RON RONERO 750CCX12,LOJA,200,161,80.5,81,70,14.185,13.824120461449375,0.9745590737715456
